,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
137,mean,min,mean,mean,Iris-virginica
138,mean,mean,mean,mean,Iris-virginica
139,mean,mean,mean,mean,Iris-virginica
140,mean,mean,mean,mean,Iris-virginica
141,min,min,mean,mean,Iris-virginica
142,mean,mean,mean,mean,Iris-virginica
143,mean,mean,mean,max,Iris-virginica
144,mean,min,mean,mean,Iris-virginica
145,mean,min,mean,mean,Iris-virginica
146,mean,min,mean,mean,Iris-virginica
147,mean,mean,mean,mean,Iris-virginica
148,mean,min,mean,mean,Iris-virginica
